"구","group_2019","group_2020","group_2021","group_2022","group_2023","group_2024"
"강남구","5","4","3","2","2","4"
"송파구","5","4","3","2","2","4"
"서초구","5","4","3","2","2","4"
"강서구","1","1","1","1","3","3"
"양천구","1","1","1","1","3","3"
"관악구","1","1","1","1","3","3"
"강동구","5","4","3","2","5","4"
"서대문구","2","2","2","4","1","1"
"강북구","4","5","4","3","4","5"
"동작구","1","1","1","1","3","3"
"동대문구","4","5","4","3","4","5"
"성북구","4","5","4","3","4","5"
"노원구","4","5","4","3","4","5"
"은평구","2","2","2","4","1","1"
"마포구","2","2","2","4","1","1"
"성동구","3","3","5","5","5","2"
"도봉구","4","5","4","3","4","5"
"광진구","3","3","5","5","5","2"
"중랑구","4","5","4","3","4","5"
"영등포구","1","1","1","1","3","3"
"구로구","1","1","1","1","3","3"
"용산구","3","3","5","5","5","2"
"종로구","3","3","5","5","5","2"
"금천구","1","1","1","1","3","3"
"중구","3","3","5","5","5","2"
